genre_id,ranking_group,rows,actual_sales,predicted_sales,sales_mae,sales_total_error,actual_quantity,predicted_quantity,quantity_mae,quantity_total_error,sales_wape,quantity_wape,sales_bias,quantity_bias
100181,Electronics,179,1253815,557537.5389456198,7976.783209008439,1427844.1944125106,180,170.7608178368417,0.9216818645661157,164.9810537573347,1.1387997387274125,0.9165614097629706,-0.5553271105022513,-0.051328789795323834
212377,Electronics,179,472441,34530.248155128764,2768.643886152521,495587.2556213013,49,48.4135932172471,0.3474273015240678,62.18948697280814,1.0489929020159159,1.2691732035266967,-0.9269109832653627,-0.011967485362304136
204586,Electronics,179,4013304,1728138.1508064335,23063.35846462981,4128341.165168736,136,121.89106226963253,0.751594769172725,134.53546368191778,1.0286639549779275,0.9892313506023366,-0.569397645728698,-0.10374218919387847
508599,Jewelry & accessories,179,109080,6822.86546085471,617.8758089584102,110599.76980355542,42,32.26130854386864,0.31848545847780124,57.008897067526426,1.0139326164609042,1.3573546920839625,-0.9374508116900009,-0.2318736060983658
101384,Unknown,105,850000,613.1486668574807,8101.050390808615,850610.2910349045,5,2.3583184364902796,0.06782179792054853,7.121288781657595,1.0007179894528289,1.424257756331519,-0.9992786486272265,-0.528336312701944
202502,"DIY, garden & auto",179,924565,375373.01444607537,4810.31431836645,861046.2629875945,175,151.0469949921163,0.8809644538268422,157.69263723500475,0.9312987869837107,0.9011007842000271,-0.5940004061952645,-0.13687431433076394
208532,Beauty & health,180,2945995,2825756.797507742,14597.143046934922,2627485.7484482857,426,493.43715058455535,1.5144880701768362,272.6078526318305,0.8918839809464326,0.6399245366944378,-0.0408141230695429,0.15830317038628017
567554,Home & living,179,1894475,1487806.645788682,8148.069221753173,1458504.390693818,209,223.55129216285772,0.8613521120030232,154.18202804854116,0.7698725983155322,0.7377130528638333,-0.2146601851232231,0.06962340747778814
207966,Sports & outdoors,180,18466979,15306691.8885797,74812.62829216677,13466273.09259002,424,417.5728881146958,1.559070968596902,280.63277434744236,0.7292082312212528,0.6618697508194396,-0.1711317867107717,-0.015158282748358995
210413,"DIY, garden & auto",179,10592327,5837994.824313836,42629.73844051937,7630723.180852967,316,251.45473492543132,1.080034165122808,193.32611555698264,0.7204010205550647,0.6117915049271603,-0.44884680917480774,-0.2042571679574958
206363,Fashion,180,2073559,1855797.550269071,7668.278855201841,1380290.1939363314,486,447.3724779216209,1.4705325407995649,264.69585734392166,0.6656623679077043,0.5446416817776166,-0.10501820769552686,-0.07948049810366073
564286,Electronics,180,46716779,44510635.395219944,168666.7760959504,30360019.69727107,422,410.96522839345437,1.424673919845417,256.44130557217505,0.6498739927526055,0.6076808188914101,-0.047223795218845364,-0.026148747882809555
110435,Food & drink,180,2670960,2294903.7065114286,9299.078994608202,1673834.2190294764,854,844.066587683939,2.5752189627458266,463.5394132942488,0.6266788791406372,0.5427861982368253,-0.14079443102426523,-0.011631630346675621
101954,Unknown,179,1118436,910976.0454555823,3576.0358068179157,640110.4094204069,949,853.7401724787655,2.249324435868366,402.62907402043754,0.5723263641553088,0.4242666744156349,-0.18549112738182397,-0.10037916493280764
562641,Electronics,179,139199530,110989447.48743647,430980.6143383304,77145529.96656114,1047,891.794007455658,3.6172909255160124,647.4950756673662,0.5542082646871088,0.6184289165877423,-0.20265932300607284,-0.14823877033843558
502221,"Bags, travel & accessories",180,24366121,21402687.22916099,71852.37409449003,12933427.337008206,1220,1233.335699918065,2.358973725161893,424.61527052914073,0.5307954982661461,0.34804530371241044,-0.12162107258841115,0.010930901572184487
501098,Home & living,180,6736679,6788663.841069212,19777.086586512225,3559875.5855722004,993,1060.968263392396,2.479805953502297,446.3650716304134,0.5284318260632873,0.44951165320283326,0.007716686674429965,0.06844739515850555
100487,Jewelry & accessories,180,50011219,38780287.406332254,145552.30562391676,26199415.012305018,9966,8534.002479140256,25.389207170509664,4570.05729069174,0.5238707541262895,0.45856484955767,-0.22456824325093427,-0.1436882922797255
110409,Food & drink,179,5067356,5314056.843405546,14556.903606505706,2605685.7455645213,1274,1333.1301126828419,2.911945269663244,521.2382032697207,0.514210121721174,0.40913516740166456,0.04868433230377848,0.0464129612895148
214104,Food & drink,179,17470268,13364011.09681174,48686.06708590594,8714806.008377163,1789,1566.3835076935768,4.347322525626973,778.1707320872282,0.498836423595629,0.4349752554987301,-0.23504258224248537,-0.12443627294937015
207774,Food & drink,180,81820557,63953309.96608877,223480.13257731328,40226423.86391639,14860,12618.601958816707,35.05303060782691,6309.545509408845,0.49164201930226886,0.4245992940382803,-0.2183711244340616,-0.15083432309443423
564895,Electronics,179,40200962,34796300.57495155,106137.8301163768,18998671.590831447,1111,1063.166332692997,2.6205256211266423,469.074086181669,0.4725924616140143,0.4222088984533474,-0.13444109683366404,-0.04305460603690639
566403,Electronics,180,67065382,64381416.963478506,175277.7329555837,31549991.932005066,1777,1724.766458602177,3.8006279756708006,684.1130356207441,0.47043632633010374,0.3849820121669916,-0.04002012597977142,-0.029394227010592598
506012,Sports & outdoors,179,15155434,14840485.113922857,39701.9605612339,7106650.940460868,861,847.2888794261655,1.9925117314506675,356.65959992966947,0.4689176793261657,0.41423879202052205,-0.020781251535069416,-0.015924646427217744
201925,Sports & outdoors,180,24554595,22009759.0379458,63209.69612706024,11377745.302870844,2241,2157.866761979127,3.100818496416878,558.1473293550381,0.4633652195391878,0.2490617266198296,-0.10363990780765069,-0.03709649175407086
566647,Food & drink,180,7579419,6759147.564487757,19425.10986826891,3496519.776288404,810,778.1656599783365,1.8641152157718932,335.5407388389408,0.4613176519583367,0.4142478257270874,-0.10822352419258559,-0.03930165434773269
215430,Home & living,180,73018569,70149937.87710941,171348.11570555475,30842660.826999854,1921,2059.546810095533,5.036861117103907,906.6350010787032,0.42239475861270104,0.471959917271579,-0.03928632349520013,0.07212223326159976
207802,Food & drink,180,25687902,25527434.29185432,57870.27589187793,10416649.660538027,3381,3335.814814481,6.870403647021279,1236.6726564638302,0.4055079959639377,0.3657712678094736,-0.006246820318205892,-0.01336444410499846
563689,Other,180,53200278,49666238.375856735,119585.6536466487,21525417.656396765,1981,1909.3650200799113,3.6692363222765323,660.4625380097758,0.4046109995214079,0.33339855528004836,-0.0664289691144709,-0.03616101964668786
216158,Home & living,180,22731954,17949254.21433623,49672.18989799479,8940994.181639062,2083,1880.3654345726893,3.8981538873564956,701.6676997241692,0.3933227289497006,0.3368543925704125,-0.21039545415514077,-0.09728015623010595
215913,Home & living,180,38460160,41339028.390769556,83931.31604010638,15107636.88721915,2409,2651.753647312858,4.474763165837594,805.4573698507669,0.3928126374726249,0.334353412142286,0.07485326090087915,0.10076946754373516
205582,Home & living,179,18337198,17935225.01269745,39823.32812321483,7128375.734055455,3277,3247.733926014716,4.89179124942469,875.6306336470195,0.38873854849881945,0.2672049538135549,-0.02192117832302128,-0.008930751902741544
555421,Electronics,180,3936906,3391237.572513411,8363.89103381675,1505500.386087015,1982,1902.4249407275374,3.148138229046545,566.6648812283781,0.38240699322945865,0.28590559093258233,-0.13860336708232027,-0.04014886946138374
